"sample_id"	"soil_layer"	"location"	"pH"
"ERR1346802"	"Mineral"	"Ontario"	5.26
"ERR1346803"	"Mineral"	"Ontario"	5.26
"ERR1346805"	"Organic"	"Ontario"	4.32
"ERR1346806"	"Mineral"	"Ontario"	5.1
"ERR1346807"	"Organic"	"Ontario"	4.76
"ERR1346808"	"Mineral"	"Ontario"	5.63
"ERR1346809"	"Organic"	"California"	4.9
"ERR1346810"	"Mineral"	"California"	5.65
"ERR1346813"	"Organic"	"California"	5.63
"ERR1346814"	"Mineral"	"California"	6.3
"ERR1346820"	"Organic"	"Ontario"	3.65
"ERR1346821"	"Mineral"	"Ontario"	4.87
"ERR1346822"	"Mineral"	"Ontario"	4.87
"ERR1346823"	"Organic"	"Ontario"	3.69
"ERR1346824"	"Mineral"	"Ontario"	5.06
"ERR1346825"	"Organic"	"Ontario"	4.15
"ERR1346826"	"Mineral"	"Ontario"	4.99
"ERR1346827"	"Organic"	"California"	5.38
"ERR1346828"	"Organic"	"California"	5.38
"ERR1346829"	"Mineral"	"California"	6.37
"ERR1346830"	"Mineral"	"California"	6.37
"ERR1346831"	"Organic"	"British Columbia"	5.41
"ERR1346832"	"Mineral"	"British Columbia"	5.68
"ERR1346834"	"Mineral"	"Texas"	NA
"ERR1346835"	"Organic"	"Texas"	NA
"ERR1346836"	"Organic"	"Texas"	NA
"ERR1346837"	"Organic"	"Texas"	NA
"ERR1346839"	"Mineral"	"Ontario"	5.26
"ERR1346840"	"Mineral"	"Ontario"	5.26
"ERR1346841"	"Mineral"	"Ontario"	5.26
"ERR1346842"	"Mineral"	"Ontario"	5.26
"ERR1346843"	"Organic"	"Ontario"	4.28
"ERR1346844"	"Organic"	"Ontario"	4.28
"ERR1346845"	"Organic"	"Ontario"	4.28
"ERR1346846"	"Mineral"	"Ontario"	5.1
"ERR1346847"	"Mineral"	"Ontario"	5.1
"ERR1346848"	"Mineral"	"Ontario"	5.1
"ERR1346849"	"Organic"	"Ontario"	4.32
"ERR1346850"	"Organic"	"Ontario"	4.32
"ERR1346851"	"Organic"	"Ontario"	4.32
"ERR1346852"	"Mineral"	"Ontario"	5.63
"ERR1346853"	"Mineral"	"Ontario"	5.63
"ERR1346854"	"Mineral"	"Ontario"	5.63
"ERR1346855"	"Mineral"	"Ontario"	5.63
"ERR1346856"	"Organic"	"Ontario"	4.76
"ERR1346857"	"Mineral"	"California"	5.65
"ERR1346858"	"Mineral"	"California"	5.65
"ERR1346859"	"Mineral"	"California"	5.65
"ERR1346860"	"Mineral"	"California"	5.65
"ERR1346861"	"Organic"	"California"	4.9
"ERR1346862"	"Organic"	"California"	4.9
"ERR1346863"	"Mineral"	"California"	6.3
"ERR1346864"	"Mineral"	"California"	6.3
"ERR1346865"	"Mineral"	"California"	6.3
"ERR1346866"	"Mineral"	"California"	6.3
"ERR1346867"	"Organic"	"California"	5.63
"ERR1346868"	"Organic"	"California"	5.63
"ERR1346869"	"Organic"	"California"	5.63
"ERR1346870"	"Organic"	"California"	5.63
"ERR1346871"	"Mineral"	"California"	6.37
"ERR1346872"	"Mineral"	"California"	6.37
"ERR1346873"	"Mineral"	"California"	6.37
"ERR1346874"	"Mineral"	"California"	6.37
"ERR1346875"	"Organic"	"California"	5.38
"ERR1346877"	"Mineral"	"Texas"	NA
"ERR1346878"	"Mineral"	"Texas"	NA
"ERR1346879"	"Mineral"	"Texas"	NA
"ERR1346880"	"Mineral"	"Texas"	NA
"ERR1346881"	"Mineral"	"Texas"	NA
"ERR1346882"	"Organic"	"Texas"	NA
"ERR1346883"	"Mineral"	"California"	6.3
"ERR1346884"	"Mineral"	"Ontario"	5.1
"ERR1346887"	"Mineral"	"Ontario"	5.1
"ERR1346888"	"Mineral"	"Ontario"	5.1
"ERR1346890"	"Mineral"	"California"	6.3
"ERR1346891"	"Mineral"	"Texas"	NA
