"sample_id"	"location"
"ERR5004402"	"Massachusetts"
"ERR5004405"	"Massachusetts"
"ERR5004406"	"Massachusetts"
"ERR5004407"	"Massachusetts"
"ERR5004403"	"Massachusetts"
"ERR5004404"	"Massachusetts"
"ERR5004408"	"Massachusetts"
"ERR5004409"	"Massachusetts"
"ERR5004410"	"Massachusetts"
"ERR5004787"	"Spain"
"ERR5004789"	"Spain"
"ERR5004790"	"Spain"
"ERR5004793"	"Spain"
"ERR5004796"	"Spain"
"ERR5004798"	"Spain"
"ERR5004799"	"Spain"
"ERR5004803"	"Spain"
"ERR5004804"	"Spain"
"ERR5004806"	"Spain"
"ERR5004807"	"Spain"
