ID	num
reERR3589553	283579898
reERR3589554	358848070
reERR3589555	283359777
reERR3589556	361765839
reERR3589557	314677626
reERR3589558	424682983
reERR3589559	349559899
reERR3589560	337589134
reERR3589561	302148186
reERR3589562	279124634
reERR3589563	280936018
reERR3589564	248964727
reERR3589565	292214093
reERR3589566	304371301
reERR3589567	286966436
reERR3589568	269878956
reERR3589569	243821658
reERR3589570	282656532
reERR3589571	347556536
reERR3589572	360070799
reERR3589573	278405843
reERR3589574	306601200
reERR3589575	297767715
reERR3589576	258825021
reERR3589577	307587468
reERR3589578	325796822
reERR3589579	299299902
reERR3589580	294371842
reERR3589581	284970913
reERR3589582	271791601
reERR3589583	307017042
reERR3589584	319836322
reERR3589585	252004692
reERR3589586	287836335
reERR3589587	279223264
reERR3589588	240292708
reERR3589589	234662116
reERR3589590	299757690
reERR3589591	341707209
reERR3589592	342585922
reERR3589593	378075228
