;ID0;ID1;ID2;ID3;ID4;ID5;ID6;ID7;ID8;ID9;ID10
ID0;0.000000;0.750870;0.953340;0.727327;0.944794;0.960847;0.946063;0.949447;0.960179;0.952508;0.958062
ID1;0.750870;0.000000;0.940732;0.731120;0.929046;0.950553;0.950979;0.958846;0.964024;0.957233;0.963252
ID2;0.953340;0.940732;0.000000;0.945623;0.840890;0.854056;0.968922;0.975245;0.978497;0.969639;0.978839
ID3;0.727327;0.731120;0.945623;0.000000;0.936729;0.953796;0.954778;0.959119;0.963382;0.956807;0.962866
ID4;0.944794;0.929046;0.840890;0.936729;0.000000;0.856753;0.962719;0.972495;0.976520;0.967771;0.976871
ID5;0.960847;0.950553;0.854056;0.953796;0.856753;0.000000;0.974177;0.978574;0.981131;0.972547;0.981449
ID6;0.946063;0.950979;0.968922;0.954778;0.962719;0.974177;0.000000;0.812191;0.896674;0.880430;0.887618
ID7;0.949447;0.958846;0.975245;0.959119;0.972495;0.978574;0.812191;0.000000;0.847021;0.788950;0.825722
ID8;0.960179;0.964024;0.978497;0.963382;0.976520;0.981131;0.896674;0.847021;0.000000;0.820063;0.725207
ID9;0.952508;0.957233;0.969639;0.956807;0.967771;0.972547;0.880430;0.788950;0.820063;0.000000;0.798362
ID10;0.958062;0.963252;0.978839;0.962866;0.976871;0.981449;0.887618;0.825722;0.725207;0.798362;0.000000
